identifiant	tei:title	marc:titre_propre	site:nom	site:prenom	Nom:majuscules	Nom :capitalisés 	Idref:key	Idref:url	site:promotion	benc:pp	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel	Commentaire	benc:volume	benc:autorite?	site:id?	Date d'édition	Promotion	TOME	"COTE Thèse AN 
AB XXVIII "	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état
ENCPOS_1931_11	Recherches sur la condition des églises dans le diocèse de Cambrai du <abbr>xi<sup>e</sup></abbr> au <abbr>xiii<sup>e</sup></abbr> siècle	Recherches sur la condition des églises dans le diocèse de Cambrai du xie au xiiie siècle	Guillon	Madeleine	MADELEINE GUILLON	Madeleine Guillon			1931	95-99	guillon	2	1000	1299				11-1930-1933	Guillon, Madeleine	193110		1931			NC		1000-1299			bon état
ENCPOS_1931_12	Henri_de_Mesmes et ses amis. Recherches sur un milieu littéraire de la Renaissance	Henri de Mesmes et ses amis. Recherches sur un milieu littéraire de la Renaissance	Humbert	Jean	JEAN HUMBERT	Jean Humbert			1931	101-112	humbert	1	1500	1599				11-1930-1933	Humbert, Jean	193111		1931			NC		1500-1599			bon état
ENCPOS_1931_13	Les institutions municipales de Bourges jusqu’à la fin du règne de Charles_VIII	Les institutions municipales de Bourges jusqu’à la fin du règne de Charles VIII	Jolivet	Renée	RENÉE JOLIVET	Renée Jolivet			1931	113-119	jolivet	2	1000	1498				11-1930-1933	Jolivet, Renée	193112		1931			NC		1000-1498			bon état
ENCPOS_1931_14	Les Hospitaliers en Basse-Alsace de 1217 à 1529	Les Hospitaliers en Basse-Alsace de 1217 à 1529	Jouanny	Marguerite	MARGUERITE JOUANNY	Marguerite Jouanny			1931	121-126	jouanny	2	1217	1529				11-1930-1933	Jouanny, Marguerite	193113		1931			NC		1217-1529			bon état
ENCPOS_1931_15	Étude sur Baudouin_de_Sebourc	Étude sur « Baudouin de Sebourc »	Labande	Edmond-René	EDMOND-RENÉ LABANDE	Edmond-René Labande			1931	127-133	labande	1	1360	1370				11-1930-1933	Labande, Edmond-René	193114		1931			NC		1360-1370			bon état
ENCPOS_1931_16	La vie municipale à Najac en Rouergue (XIII<sup>e</sup>-XV<sup>e</sup> siècle)	La vie municipale à Najac en Rouergue (xiiie-xve siècle)	Laroche	Charles	CHARLES LAROCHE	Charles Laroche			1931	135-139	laroche	1	1200	1499				11-1930-1933	Laroche, Charles	193115		1931			NC		1200-1499			bon état
ENCPOS_1931_17	L’institution des Monnoyers_du_Serment d’Empire dans le royaume d’Arles et de VIenne et ses filiales en France de 1343 à 1541	L’institution des Monnoyers du Serment d’Empire dans le royaume d’Arles et de VIenne et ses filiales en France de 1343 à 1541	Le Gentilhomme	Pierre	PIERRE LE GENTILHOMME.	Pierre Le Gentilhomme.			1931	141-155	legentilhomme	1	1343	1541				11-1930-1933	Le Gentilhomme, Pierre	193116		1931			NC		1343-1541			bon état
ENCPOS_1931_18	Le premier cartulaire de Saint-Nicolas d’Angers (XI<sup>e</sup>-XII<sup>e</sup> siècle), essai de restitution précédé d’une étude historique	Le premier cartulaire de Saint-Nicolas d’Angers (xie-xiie siècles). Essai de restitution précédé d’une étude historique	Mailfert	Yvonne	YVONNE MAILFERT	Yvonne Mailfert			1931	157-160	mailfert	2	1000	1199				11-1930-1933	Mailfert, Yvonne	193117		1931			NC		1000-1199			bon état
ENCPOS_1931_19	La paroisse Saint-Paul des origines à l’année 1559	La paroisse Saint-Paul des origines à l’année 1559	Pestemaldjoglou	Alexandre	ALEXANDRE PESTÉMALDJOGLOU	Alexandre Pestémaldjoglou			1931	161-167	pestemaldjoglou	1	500	1559				11-1930-1933	Pestemaldjoglou, Alexandre	193118		1931			NC		500-1559			bon état
ENCPOS_1931_20	La collation des Bénéfices au chapitre Notre-Dame de Paris sous le régime du Concordat (1518-1547)	La collation des Bénéfices au chapitre Notre-Dame de Paris sous le régime du Concordat (1518-1547)	Picon	Antoinette	ANTOINETTE PICON	Antoinette Picon			1931	169-174	picon	2	1518	1547				11-1930-1933	Picon, Antoinette	193119		1931			NC		1518-1547			bon état
ENCPOS_1931_21	Étude sur les actes des comtes d’Albon et dauphins de Viennois (vers 1030-1349)	Étude sur les actes des comtes d’Albon et dauphins de Viennois (vers 1030-1349)	Royer	Armance	ARMANCE ROYER	Armance Royer			1931	175-186	royer	2	1030	1349				11-1930-1933	Royer, Armance	193120		1931			NC		1030-1349			bon état
ENCPOS_1931_22	Étude sur les relations de louis XI avec la Savoie	Étude sur les relations de Louis XI avec la Savoie	Thomas	Édith	EDITH THOMAS.	Edith Thomas.			1931	187-192	thomas	2	1423	1483				11-1930-1933	Thomas, Édith	193121		1931			NC		1423-1483			bon état
ENCPOS_1931_NEXT		pages postliminaires							1931	-193								11-1930-1933												
ENCPOS_1931_PREV		pages liminaires							1931	0-4								11-1930-1933												
ENCPOS_1932_01	L’antiquité classique dans l’art du Moyen_Âge français. Études sur les sources d’inspiration plastiques et littéraires	L’antiquité classique dans l’art du Moyen Âge français. Études sur les sources d’inspiration plastiques et littéraires	Adhémar	Jean	JEAN ADHÉMAR	Jean Adhémar			1932	5-16	adhemar	1	-500	1499				11-1930-1933	Adhémar, Jean	193201		1932			NC		-500-1499			bon état
ENCPOS_1932_02	Le rôle politique de la Maison d’Albret (1272-1359)	Le rôle politique de la Maison d’Albret (1272-1359)	Boullier De Branche	Henri	HENRI BOULLIER DE BRANCHE.	Henri Boullier de Branche.			1932	17-24	boullierdebranche	1	1272	1359				11-1930-1933	Boullier De Branche, Henri	193202		1932			NC		1272-1359			bon état
ENCPOS_1932_03	Le comté d’Anjou d’Henri_Plantagenêt à la conquête de Philippe_Auguste	Le comté d’Anjou d’Henri Plantagenêt à la conquête de Philippe Auguste	Boussard	Jacques	JACQUES BOUSSARD	Jacques Boussard			1932	25-33	boussard	1	1133	1214				11-1930-1933	Boussard, Jacques	193203		1932			NC		1133-1214			bon état
ENCPOS_1932_04	Le procès civil et criminel de Robert_III_d_Artois	Le procès civil et criminel de Robert III d'Artois	Callies	Germaine	GERMAINE CALLIES	Germaine Callies			1932	35-41	callies	2	1287	1342				11-1930-1933	Callies, Germaine	193204		1932			NC		1287-1342			bon état
ENCPOS_1932_05	Histoire économique de l’abbaye de Fécamp pendant la guerre_de_Cent_ans	Histoire économique de l’abbaye de Fécamp pendant la guerre de Cent ans	Chabord	Odette	ODETTE CHABORD.	Odette Chabord.			1932	43-51	chabord	2	1337	1453				11-1930-1933	Chabord, Odette	193205		1932			NC		1337-1453			bon état
ENCPOS_1932_06	Recueil des actes de Henri_Ier_Beauclerc, duc de Normandie	Recueil des actes de Henri Ier Beauclerc, duc de Normandie	Chanteux	Henri	HENRY CHANTEUX	Henry Chanteux			1932	53-59	chanteux	1	1068	1135			Problème prénom ; recollement :  Henri ;  xml : Henry	11-1930-1933	Chanteux, Henri	193206		1932			NC		1068-1135			bon état
ENCPOS_1932_07	Histoire technique de l’agriculture anglo-normande au <abbr>xiii<sup>e</sup></abbr> siècle	Histoire technique de l’agriculture anglo-normande au xiiie siècle	Clermont-Tonnerre, De	François	FRANÇOIS DE CLERMONT-TONNERRE.	François de Clermont-Tonnerre.			1932	61-70	clermonttonnerre	1	1200	1299				11-1930-1933	Clermont-Tonnerre, De, François	193207		1932			NC		1200-1299			bon état
ENCPOS_1932_08	Les relations de la Navarre avec l’Aragon et la Castille sous le règne de Charles_le_Mauvais (1349-1387)	Les relations de la Navarre avec l’Aragon et la Castille sous le règne de Charles le Mauvais (1349-1387)	Duvergé	Suzanne	SUZANNE DUVERGÉ	Suzanne Duvergé			1932	71-80	duverge	2	1349	1387				11-1930-1933	Duvergé, Suzanne	193208		1932			NC		1349-1387			bon état
ENCPOS_1932_09	Histoire des seigneurs et de la seigneurie de Commercy des origines à 1415	Histoire des seigneurs et de la seigneurie de Commercy des origines à 1415	François-Vivès	Simone	SIMONE FRANÇOIS-VIVÈS.	Simone François-Vivès.			1932	81-88	francois	2	500	1415				11-1930-1933	François-Vivès, Simone	193209		1932			NC		500-1415			bon état
ENCPOS_1932_10	Le temporel de l’abbaye de Saint-Denis dans la province ecclésiastique de Sens de 1151 à 1270	Le temporel de l’abbaye de Saint-Denis dans la province ecclésiastique de Sens de 1151 à 1270	Lebel	Germaine	GERMAINE LEBEL	Germaine Lebel			1932	89-97	lebel	2	1151	1270				11-1930-1933	Lebel, Germaine	193210		1932			NC		1151-1270			bon état
ENCPOS_1932_11	La baronnie de Combraille sous les comtes d’Auvergne et les origines du pays de Franc-Alleu	La baronnie de Combraille sous les comtes d’Auvergne et les origines du pays de Franc-Alleu	Morel	Alice	ALICE MOREL.	Alice Morel.			1932	99-105	morel	2	500	1499				11-1930-1933	Morel, Alice	193211		1932			NC		500-1499			bon état
ENCPOS_1932_12	Étude sur le chapitre cathédral de Mende	Étude sur le chapitre cathédral de Mende	Plique	Germaine	GERMAINE PLIQUE.	Germaine Plique.			1932	107-116	plique	2	506	1499				11-1930-1933	Plique, Germaine	193212		1932			NC		506-1499			bon état
ENCPOS_1932_13	Les réformes du ministère Choiseul dans le corps des dragons (janvier 1761-décembre 1770)	Les réformes du ministère Choiseul dans le corps des dragons (janvier 1761-décembre 1770)	Prat, De	Olivier	OLIVIER DE PRAT	Olivier de Prat			1932	117-127	prat	1	1761	1770				11-1930-1933	Prat, De, Olivier	193213		1932			NC		1761-1770			bon état
ENCPOS_1932_14	L’architecture religieuse dans le comté de Brie du <abbr>xi<sup>e</sup></abbr> au <abbr>xvi<sup>e</sup></abbr> siècle	L’architecture religieuse dans le comté de Brie du xie au xvie siècle	Salet	Francis	FRANCIS SALET	Francis Salet			1932	129-136	salet	1	1000	1599				11-1930-1933	Salet, Francis	193214		1932			NC		1000-1599			bon état
ENCPOS_1932_15	Les institutions municipales d’Angers de 1474 à 1584	Les institutions municipales d’Angers de 1474 à 1584	Varangot	Jeanne	JEANNE VARANGOT.	Jeanne Varangot.			1932	137-143	varangot	2	1474	1584				11-1930-1933	Varangot, Jeanne	193215		1932			NC		1474-1584			bon état
ENCPOS_1932_16	L’œuvre de Richard_le_Pèlerin et de Graindor_de_Douai connue sous le nom de Chanson_d_Antioche	Histoire de l’ancienne Maison de Sully	Verlet	Pierre	PIERRE : VERLET.	Pierre : Verlet.			1932	145-152	verlet	2	1098	1150				11-1930-1933	Verlet, Pierre	193217		1932			NC		1000-1789			bon état
ENCPOS_1932_17	Histoire de l’ancienne Maison de Sully	L’œuvre de Richard le Pèlerin et de Graindor de Douai connue sous le nom de Chanson d'Antioche	Verlet-Réaubourg	Nicole	NICOLE VERLET-RÉAUBOURG	Nicole Verlet-Réaubourg			1932	153-158	verlet	1	1000	1789				11-1930-1933	Verlet-Réaubourg, Nicole	193216		1932			NC		1098-1150			bon état
ENCPOS_1932_18	L’abbaye de Saint-Satur sous Sancerre au diocèse de Bourges	L’abbaye de Saint-Satur sous Sancerre au diocèse de Bourges	Villeneuve	Marthe	MARTHE VILLENEUVE.	Marthe Villeneuve.			1932	159-166	villeneuve	2	400	1775				11-1930-1933	Villeneuve, Marthe	193218		1932			NC		400-1775			bon état
ENCPOS_1932_NEXT		pages postliminaires							1932	-167								11-1930-1933												
ENCPOS_1932_PREV		pages liminaires							1932	0-4								11-1930-1933												
ENCPOS_1933_01	Les églises de l’ancien diocèse d’Orléans de la fin de la guerre_de_Cent_ans aux guerres_de_Religion	Les églises de l’ancien diocèse et duché d’Orléans de la fin de la guerre de Cent ans aux guerres de Religion	Colas Des Francs	Michel	MICHEL COLAS DES FRANCS	Michel Colas Des Francs			1933	5-14	colasdesfrancs	1	1453	1540				11-1930-1933	Colas Des Francs, Michel	193301		1933			NC		1453-1540			bon état
ENCPOS_1933_02	Le vicariat de Pontoise ou l’officialité foraine de Rouen à Pontoise (1255-1789)	Le vicariat de Pontoise ou l’officialité foraine de Rouen à Pontoise (1255-1789)	Demeuninck	Marie	MARIE DEMEUNYNCK	Marie Demeunynck			1933	15-20	demeuninck	2	1255	1789				11-1930-1933	Demeuninck, Marie	193302		1933			NC		1255-1789			bon état
ENCPOS_1933_03	Charles_d_Anjou, premier comte du Maine (1414-1473)	Charles d'Anjou, premier comte du Maine (1414-1473)	Duboscq	Guy	GUY DUBOSCQ	Guy Duboscq			1933	21-35	duboscq	1	1414	1473				11-1930-1933	Duboscq, Guy	193303		1933			NC		1414-1473			bon état
ENCPOS_1933_04	Étude sur la condition des personnes et des terres en Bas-Languedoc du <abbr>x<sup>e</sup></abbr> au <abbr>xiii<sup>e</sup></abbr> siècle	Étude sur la condition des personnes et des terres en Bas-Languedoc du xe au xiiie siècle	Favre	Jeanne	JEANNE FAVRE	Jeanne Favre			1933	37-48	favre	2	900	1299				11-1930-1933	Favre, Jeanne	193304		1933			NC		900-1299			bon état
ENCPOS_1933_05	La draperie à Rouen des origines aux réformes de Colbert	La draperie à Rouen des origines aux réformes de Colbert	Guitard	Marie	MARIE GUITARD	Marie Guitard			1933	49-54	guitard	2	1000	1683				11-1930-1933	Guitard, Marie	193305		1933			NC		1000-1683			bon état
ENCPOS_1933_06	Les <i>Enfances_Guillaume</i>, chanson de geste publiée avec une introduction	Les Enfances Guillaume, chanson de geste publiée avec une introduction	Henry	Patrice	PATRICE HENRY	Patrice Henry			1933	55-61	henry	1	1200	1299				11-1930-1933	Henry, Patrice	193306		1933			NC		1200-1299			bon état
ENCPOS_1933_07	Le quartier des Halles à Paris des origines à 1436	Le quartier des Halles à Paris des origines à 1436	Jourdan	Anna	ANNA JOURDAN	Anna Jourdan			1933	63-71	jourdan	2	500	1436				11-1930-1933	Jourdan, Anna	193307		1933			NC		500-1436			bon état
ENCPOS_1933_08	L’abbaye de Saint-Amand de Rouen des origines à la fin du <abbr>xvi<sup>e</sup></abbr> siècle	L’abbaye de Saint-Amand de Rouen des origines à la fin du xvie siècle	Le Cacheux	Marie-Josèphe	MARIE-JOSÈPHE LE CACHEUX	Marie-Josèphe Le Cacheux			1933	73-78	lecacheux	2	500	1599				11-1930-1933	Le Cacheux, Marie-Josèphe	193308		1933			NC		500-1599			bon état
ENCPOS_1933_09	Études sur les origines des exemptions externes d’abbayes normandes (XI<sup>e</sup>-XIV<sup>e</sup> siècle)	Études sur les origines des exemptions externes d’abbayes normandes (xie-xive siècle)	Lemarignier	Jean-François	JEAN-FRANÇOIS LEMARIGNIER	Jean-François Lemarignier			1933	79-90	lemarignier	1	1000	1399				11-1930-1933	Lemarignier, Jean-François	193309		1933			NC		1000-1399			bon état
ENCPOS_1933_10	Le Parlement de Franche-Comté de 1500 à 1668. Organisation et attributions	Le Parlement de Franche-Comté de 1500 à 1668. Organisation et attributions	Lesne	Brigitte	BRIGITTE LESNE	Brigitte Lesne			1933	91-100	lesne	2	1500	1668				11-1930-1933	Lesne, Brigitte	193310		1933			NC		1500-1668			bon état
ENCPOS_1933_11	Les œuvres de Pierre_de_Poitiers, maître de théologie à Paris, chancelier de Notre-Dame (1193-1205)	Les œuvres de Pierre de Poitiers, maître de théologie à Paris, chancelier de Notre-Dame (1193-1205)	Moore	Philip	PHILIP MOORE	Philip Moore			1933	101-113	moore	1	1193	1205				11-1930-1933	Moore, Philip	193311		1933			NC		1193-1205			bon état
ENCPOS_1933_12	L’abbaye de Solignac du <abbr>xi<sup>e</sup></abbr> au <abbr>xv<sup>e</sup></abbr> siècle	L’abbaye de Solignac du xie au xve siècle	Morel	Pierre	PIERRE MOREL	Pierre Morel			1933	115-123	morel	1	1000	1499				11-1930-1933	Morel, Pierre	193312		1933			NC		1000-1499			bon état
ENCPOS_1933_13	Essai sur le port de Marseille des origines à la fin du <abbr>xiii<sup>e</sup></abbr> siècle	Essai sur le port de Marseille des origines à la fin du xiiie siècle	Pernoud	Régine	RÉGINE PERNOUD	Régine Pernoud			1933	125-132	pernoud	2	-500	1300				11-1930-1933	Pernoud, Régine	193313		1933			NC		-500-1300			bon état
ENCPOS_1933_14	Histoire du corps des dragons de 1748 à 1770	Histoire du corps des dragons de 1748 à 1770	Prat, De	Olivier	OLIVIER DE PRAT	Olivier de Prat			1933	133-136	prat	1	1748	1770				11-1930-1933	Prat, De, Olivier	193314		1933			NC		1748-1770			bon état
ENCPOS_1933_15	Le rôle du Conseil_de_Marine dans la mise en valeur des colonies françaises d’Amérique de 1715 à 1722	Le rôle du Conseil de Marine dans la mise en valeur des colonies françaises d’Amérique de 1715 à 1722	Rambaud	Mireille	MIREILLE RAMBAUD	Mireille Rambaud			1933	137-147	rambaud	2	1715	1722				11-1930-1933	Rambaud, Mireille	193315		1933			NC		1715-1722			bon état
ENCPOS_1933_16	Histoire du chapitre cathédral de Strasbourg au <abbr>xiv<sup>e</sup></abbr> et au <abbr>xv<sup>e</sup></abbr> siècle	Histoire du chapitre cathédral de Strasbourg au xive et au xve siècle	Rott	Jean	JEAN ROTT	Jean Rott			1933	149-158	rott	1	1300	1499				11-1930-1933	Rott, Jean	193316		1933			NC		1300-1499			bon état
ENCPOS_1933_17	L’administration municipale à Montferrand de 1416 à 1556	L’administration municipale à Montferrand de 1416 à 1556	Tournaire	Denise	DENISE TOURNAIRE	Denise Tournaire			1933	159-166	tournaire	2	1416	1556				11-1930-1933	Tournaire, Denise	193317		1933			NC		1416-1556			bon état
ENCPOS_1933_NEXT		pages postliminaires							1933	-167								11-1930-1933												
ENCPOS_1933_PREV		pages liminaires							1933	0-4								11-1930-1933												
ENCPOS_1934_01	Histoire de Cherbourg de 1354 à 1450	Histoire de Cherbourg de 1354 à 1450	Autume, d’	Madeleine	MADELEINE D’AUTUME	Madeleine d’Autume			1934	5-13	autume	2	1354	1450				12-1934-1937	Autume, d’, Madeleine	193401		1934			NC		1354-1450			bon état
ENCPOS_1934_02	Le comté de Valois jusqu’à l’avènement de Philippe_de_Valois au trône de France	Le comté de Valois jusqu’à l’avènement de Philippe de Valois au trône de France (xe siècle–1328)	Barre	L. Carolus	L. CAROLUS BARRÉ	L. Carolus Barré			1934	15-28	barre	1	1080	1328				12-1934-1937	Barre, L. Carolus	193402		1934			NC		1080-1328			bon état
ENCPOS_1934_03	La commanderie des Hospitaliers de Rayssac	La commanderie des Hospitaliers de Rayssac (1108-1789)	Blaquière	Henri	HENRI BLAQUIÈRE	Henri Blaquière			1934	29-34	blaquiere	1	1050	1499				12-1934-1937	Blaquière, Henri	193403		1934			NC		1050-1499			bon état
ENCPOS_1934_04	Les finances communales de Lille de 1297 à 1369	Les finances communales de Lille de 1297 à 1369	Bommier	Marguerite-Marie	MARGUERITE-MARIE BOMMIER	Marguerite-Marie Bommier			1934	35-42	bommier	2	1297	1369				12-1934-1937	Bommier, Marguerite-Marie	193404		1934			NC		1297-1369			bon état
ENCPOS_1934_05	La Consolation_de_Boèce, ses sources et son interprétation par les commentateurs latins du <abbr>ix<sup>e</sup></abbr> au <abbr>xiii<sup>e</sup></abbr> siècle	La Consolation de Boèce : ses sources et son interprétation par les commentateurs latins du ixe au xiiie siècle	Courcelle	Pierre	PIERRE COURCELLE	Pierre Courcelle			1934	43-47	courcelle	1	800	1299				12-1934-1937	Courcelle, Pierre	193405		1934			NC		800-1299			bon état
ENCPOS_1934_06	Le droit_familial de quelques grandes maisons féodales de l’Ouest de la France du <abbr>xiii<sup>e</sup></abbr> au <abbr>xvi<sup>e</sup></abbr> siècle	Le droit familial de quelques grandes maisons féodales de l’Ouest de la France  du xiiie au xvie siècle	Delatouche	Raymond	RAYMOND DELATOUCHE	Raymond Delatouche			1934	49-59	delatouche	1	1200	1599				12-1934-1937	Delatouche, Raymond	193406		1934			NC		1200-1599			bon état
ENCPOS_1934_07	Histoire de la ville de Gisors (X<sup>e</sup>-XV<sup>e</sup> siècle)	Histoire de la ville de Gisors (xe-xve siècle)	Goineau	François	FRANÇOISE GOINEAU	Françoise Goineau			1934	61-70	goineau	1	900	1499				12-1934-1937	Goineau, François	193407		1934			NC		900-1499			bon état
ENCPOS_1934_08	Philippe_le_Bon et les institutions judiciaires, financières et militaires en Franche-Comté	Philippe le Bon et les institutions judiciaires, financières et militaires en Franche-Comté	Hosotte	Marie-Antoinette	MARIE-ANTOINETTE HOSOTTE	Marie-Antoinette Hosotte			1934	71-81	hosotte	2	1397	1467				12-1934-1937	Hosotte, Marie-Antoinette	193408		1934			NC		1397-1467			bon état
ENCPOS_1934_09	Le bourg Saint-Germain-des-Prés des origines au <abbr>xv<sup>e</sup></abbr> siècle	Le bourg Saint-Germain-des-Prés des origines au xve siècle	Jean-Lehoux	Françoise	FRANÇOISE JEAN-LEHOUX	Françoise Jean-Lehoux			1934	83-97	jeanlehoux	2	558	1499				12-1934-1937	Jean-Lehoux, Françoise	193409		1934			NC		558-1499			bon état
ENCPOS_1934_10	La deuxième ambassade à Rome de Philippe_de_Béthune (1624-1630)	La deuxième ambassade à Rome de Philippe_de_Béthune (1624-1630)	Lenoir	Madeleine	MADELEINE LENOIR	Madeleine Lenoir			1934	99-108	lenoir	2	1624	1630				12-1934-1937	Lenoir, Madeleine	193410		1934			NC		1624-1630			bon état
ENCPOS_1934_11	Le gouvernement temporel des archevêques de Lyon et leurs luttes avec le pouvoir royal de 1320 à la fin du <abbr>xiv<sup>e</sup></abbr> siècle	Le gouvernement temporel des archevêques de Lyon et leurs luttes avec le pouvoir royal de 1320 à la fin du xive siècle	Neyrand	Pierre	PIERRE NEYRAND	Pierre Neyrand			1934	109-117	neyrand	1	1320	1399				12-1934-1937	Neyrand, Pierre	193411		1934			NC		1320-1399			bon état
ENCPOS_1934_12	La vie municipale de Riez au <abbr>xvi<sup>e</sup></abbr> siècle	La vie municipale de Riez au xvie siècle	Pellegrin	Élisabeth	ELISABETH PELLEGRIN	Elisabeth Pellegrin			1934	119-128	pellegrin	2	1500	1599				12-1934-1937	Pellegrin, Élisabeth	193412		1934			NC		1500-1599			bon état
ENCPOS_1934_13	Jacques_de_Révigny, jurisconsulte à Orléans, entre 1260 et 1289	Jacques de Révigny, jurisconsulte à Orléans, entre 1260 et 1289	Pognon	Édmond	EDMOND POGNON	Edmond Pognon			1934	129-136	pognon	1	1260	1289				12-1934-1937	Pognon, Édmond	193413		1934			NC		1260-1289			bon état
ENCPOS_1934_14	Étude historique sur la vallée de la Somme du <abbr>xii<sup>e</sup></abbr> siècle au milieu du <abbr>xvii<sup>e</sup></abbr> siècle	Étude historique sur la vallée de la Somme du xiie siècle au milieu du xviie siècle	Prat	René	RENÉ PRAT	René Prat			1934	137-142	prat	1	1100	1780				12-1934-1937	Prat, René	193414		1934			NC		1100-1780			bon état
ENCPOS_1934_15	La condition des personnes et des terres dans l’archidiaconé de Paris du <abbr>xii<sup>e</sup></abbr> siècle à 1350	La condition des personnes et des terres dans l’archidiaconé de Paris du xiie siècle à 1350	Regnard	Gabrielle	GABRIELLE REGNARD	Gabrielle Regnard			1934	143-149	regnard	2	1100	1350				12-1934-1937	Regnard, Gabrielle	193415		1934			NC		1100-1350			bon état
ENCPOS_1934_16	L’architecture religieuse flamboyante dans l’ancien diocèse de Coutances	L’architecture religieuse flamboyante dans l’ancien diocèse de Coutances	Thibout	Gabrielle	GABRIELLE THIBOUT	Gabrielle Thibout			1934	151-158	thibout	2	500	1789				12-1934-1937	Thibout, Gabrielle	193416		1934			NC		500-1789			bon état
ENCPOS_1934_17	Histoire de la géomancie latine du milieu du <abbr>xii<sup>e</sup></abbr> siècle au milieu du <abbr>xvii<sup>e</sup></abbr> siècle	Histoire de la géomancie latine du milieu du xiie siècle au milieu du xviie siècle	Ziegler	Aloysius K.	ALOYSIUS K. ZIEGLER	Aloysius K. Ziegler			1934	159-170	ziegler		1150	1650				12-1934-1937	Ziegler, Aloysius K.	193417		1934			NC		1150-1650			bon état
ENCPOS_1934_NEXT		pages postliminaires							1934	-171								12-1934-1937												
ENCPOS_1934_PREV		pages liminaires							1934	0-4								12-1934-1937												
ENCPOS_1935_01	Les possessions en Bretagne aux <abbr>xi<sup>e</sup></abbr> et <abbr>xii<sup>e</sup></abbr> siècles des abbayes bénédictines de Touraine, d’Anjou et de Normandie	Les possessions en Bretagne aux xie et xiie siècles des abbayes bénédictines de Touraine, d’Anjou et de Normandie	Beauchesne	Geneviève	GENEVIÈVE BEAUCHESNE	Geneviève Beauchesne			1935	5-14	beauchesne	2	1000	1199				12-1934-1937	Beauchesne, Geneviève	193501		1935			NC		1000-1199			bon état
ENCPOS_1935_02	La langue des inscriptions monétaires mérovingiennes	La langue des inscriptions monétaires mérovingiennes	Breillat	Pierre	PIERRE BREILLAT	Pierre Breillat			1935	15-24	breillat	1	470	751				12-1934-1937	Breillat, Pierre	193502		1935			NC		470-751			bon état
ENCPOS_1935_03	Le Port-Louis sous Louis_XIV et les origines de Lorient	Le Port-Louis sous Louis XIV et les origines de Lorient	Buffet	Henri-François	HENRI-FRANÇOIS BUFFET	Henri-François Buffet			1935	25-35	buffet	1	1666	1715				12-1934-1937	Buffet, Henri-François	193503		1935			NC		1666-1715			bon état
ENCPOS_1935_04	L’abbaye de Savigny au diocèse d’Avranches des origines à la fin du <abbr>xii<sup>e</sup></abbr> siècle	L’abbaye de Savigny au diocèse d’Avranches des origines à la fin du xiie siècle	Buhot	Jacqueline	JACQUELINE BUHOT	Jacqueline Buhot			1935	37-44	buhot	2	1112	1199				12-1934-1937	Buhot, Jacqueline	193504		1935			NC		1112-1199			bon état
ENCPOS_1935_05	Les évêques et le diocèse de Carpentras au <abbr>xiii<sup>e</sup></abbr> siècle	Les évêques et le diocèse de Carpentras au xiiie siècle	Caillet	Maurice	MAURICE CAILLET	Maurice Caillet			1935	45-55	caillet	1	1200	1299				12-1934-1937	Caillet, Maurice	193505		1935			NC		1200-1299			bon état
ENCPOS_1935_06	Étude géographique et historique sur le comté de Guines des origines à 1283	Étude géographique et historique sur le comté de Guines des origines à 1283	Chanteux-Vasseur	Marguerite	MARGUERITE CHANTEÜX-VASSEUR	Marguerite Chanteüx-Vasseur			1935	57-64	chanteux	2	500	1283				12-1934-1937	Chanteux-Vasseur, Marguerite	193506		1935			NC		500-1283			bon état
ENCPOS_1935_07	Les manuscrits alchimiques du fonds latin de la bibliothèque_nationale de Paris	Les manuscrits alchimiques du fonds latin de la bibliothèque nationale de Paris	Corbett	James	JAMES CORBETT	James Corbett			1935	65-68	corbett	1	1000	1499				12-1934-1937	Corbett, James	193507		1935			NC		1000-1499			bon état
ENCPOS_1935_08	Les marais salants d’Aunis et de Saintonge jusqu’en 1789	Les marais salants d’Aunis et de Saintonge jusqu’en 1789	Drouin	Alice	ALICE DROUIN	Alice Drouin			1935	69-77	drouin	2	500	1789				12-1934-1937	Drouin, Alice	193508		1935			NC		500-1789			bon état
ENCPOS_1935_09	Le bref royal de prohibition aux cours d’église en Angleterre (1187-1286)	Le bref royal de prohibition aux cours d’église en Angleterre (1187-1286)	Flahiff	George B.	GEORGE B. FLAHIFF C.S.B.	George B. Flahiff C.s.b.			1935	79-88	flahiff	1	1187	1286				12-1934-1937	Flahiff, George B.	193509		1935			NC		1187-1286			bon état
ENCPOS_1935_10	L’humaniste Pierre_Danès (1497-1577) : essai de biographie	L’humaniste Pierre Danès (1497-1577) : essai de biographie	Forget	Mireille	MIREILLE FORGET	Mireille Forget			1935	89-96	forget	2	1497	1577				12-1934-1937	Forget, Mireille	193510		1935			NC		1497-1577			bon état
ENCPOS_1935_11	Le flottage des bois du Morvan sous l’Ancien_Régime	Le flottage des bois du Morvan sous l’Ancien Régime	Gigot	Jean	JEAN GIGOT	Jean Gigot			1935	97-104	gigot	1	500	1789				12-1934-1937	Gigot, Jean	193511		1935			NC		500-1789			bon état
